year,st,stateno,state,state_fips,state_icpsr,poptotal,popdensity,popfemale,pctpopfemale,popmale,pctpopmale,pctpopunder14,pctpop15to24,pctpop25to44,pctpop45to64,pctpopover65,pctpopover18,pctlatinx,pctwhite,pctblack,pctasian,pctpacific,pctamericanindian,evangelical_pop,nonwhite,foreign_born,pop_annual
1970,AL,1,Alabama,1,41,3444354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3449846
1970,AK,2,Alaska,2,81,302583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304328
1970,AZ,3,Arizona,4,61,1775399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1794912
1970,AR,4,Arkansas,5,42,1923322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1930077
1970,CA,5,California,6,71,19971069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20023181
1970,CO,6,Colorado,8,62,2209596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2223979
1970,CT,7,Connecticut,9,1,3032217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3038782
1970,DE,8,Delaware,10,11,548104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550332
1970,DC,8.5,District of Columbia,11,55,756668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755087
1970,FL,9,Florida,12,43,6791418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6845353
1970,GA,10,Georgia,13,44,4587930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4605421
1970,HI,11,Hawaii,15,82,769913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762920
1970,ID,12,Idaho,16,63,713015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717255
1970,IL,13,Illinois,17,21,11110285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11124681
1970,IN,14,Indiana,18,22,5195392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5203700
