year,st,stateno,state,state_fips,state_icpsr,exp_public_welfare,welfare_spending_percap,unemployment,statemin,employed,unemployed,afdc_case,afdc_rep,afdccases_childonly,marginallyfoodinsecure,foodinsecure,verylowfoodsecure,foodstamp_case,foodstamp_rep,nslp_free,nslp_reduced,nslp_total,sbp_free,sbp_reduced,sbp_total,povrate,ssirecipients_aged,ssirecipients_blind,ssirecipients_disabled,ssirecipients_total,ssistate,ssitotal,stateeitcrate,wicparticipation,workerscompensation,apwpi,apwpia,apwspt,ig_welf,policypriorityscore,pro_welfare,anti_welfare,neutral_welfare,lowincchildren_number,mothersaid,adc,aidperm,blind,oldagea,timelim,afdc_up,medicaid_stateadoption,x_chip_children,x_chip_infants,x_chip_pregnantwomen,x_chip_pregntwomen_prebba,z_ssi_afdc_families_payments,z_ssi_blind_payments,z_ssi_blind_payments_post1965,z_ssi_disabled_payments,z_ssi_disabled_payments_post1965,z_ssi_ga_payments_per_case,z_ssi_ga_payments_per_recipient,z_ssi_old_age_payments,z_ssi_old_age_payments_post1965,z_tanf_initialelig,z_tanf_maxpayment,z_tanf_paymentsperfamily
1970,AL,1,Alabama,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,1,1,1,0,0,1,NA,NA,NA,NA,412.895,NA,483.497,NA,340.023,NA,85.6049,NA,486.921,NA,NA,NA
1970,AK,2,Alaska,2,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1078.16,NA,835.387,NA,827.059,NA,158.702,NA,664.55,NA,NA,NA
1970,AZ,3,Arizona,4,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,0,1,1,0,0,0,NA,NA,NA,NA,744.578,NA,473.395,NA,464.618,NA,148.046,NA,422.779,NA,NA,NA
1970,AR,4,Arkansas,5,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,631.671,NA,540.915,NA,491.618,NA,36.1285,NA,438.27,NA,NA,NA
1970,CA,5,California,6,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1379.87,NA,961.122,NA,806.879,NA,267.029,NA,658.733,NA,NA,NA
1970,CO,6,Colorado,8,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1074.26,NA,500.919,NA,482.345,NA,403.115,NA,444.036,NA,NA,NA
1970,CT,7,Connecticut,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,1104.14,NA,450.17,NA,584.37,NA,183.147,NA,416.16,NA,NA,NA
1970,DE,8,Delaware,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,688.507,NA,550.405,NA,628.171,NA,158.422,NA,390.669,NA,NA,NA
1970,DC,8.5,District of Columbia,11,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,FL,9,Florida,12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,571.869,NA,470.713,NA,458.874,NA,NA,NA,355.195,NA,NA,NA
